indice_tiempo,medio_de_transporte,pais_destino,turistas_residentes
2017-07,Terrestre,Uruguay,65742.1
2017-07,Terrestre,EE.UU. y Canadá,362
2017-07,Terrestre,Resto de América,1656.5
2017-07,Terrestre,Europa,235
2017-07,Terrestre,Resto del mundo,105.7
2017-07,Fluvial/Marítima,Bolivia,13418
2017-07,Fluvial/Marítima,Brasil,8137.2
2017-07,Fluvial/Marítima,Chile,19.8
2017-07,Fluvial/Marítima,Paraguay,20746.6
2017-07,Fluvial/Marítima,Uruguay,45191.4
2017-07,Fluvial/Marítima,EE.UU. y Canadá,556.4
2017-07,Fluvial/Marítima,Resto de América,3113.1
2017-07,Fluvial/Marítima,Europa,507.2
2017-07,Fluvial/Marítima,Resto del mundo,151.2
2017-08,Aérea,Bolivia,4522.8
2017-08,Aérea,Brasil,59660
2017-08,Aérea,Chile,47215
2017-08,Aérea,Paraguay,4723
2017-08,Aérea,Uruguay,4095.9
2017-08,Aérea,EE.UU. y Canadá,85723.7
2017-08,Aérea,Resto de América,79388.3
2017-08,Aérea,Europa,82038.7
2017-08,Aérea,Resto del mundo,13127.5
2017-08,Terrestre,Bolivia,38283.6
2017-08,Terrestre,Brasil,56837.3
2017-08,Terrestre,Chile,97148.3
2017-08,Terrestre,Paraguay,102300.4
2017-08,Terrestre,Uruguay,44326.7
2017-08,Terrestre,EE.UU. y Canadá,173.4
2017-08,Terrestre,Resto de América,783.3
2017-08,Terrestre,Europa,111.1
2017-08,Terrestre,Resto del mundo,50
2017-08,Fluvial/Marítima,Bolivia,12140
2017-08,Fluvial/Marítima,Brasil,5654.8
2017-08,Fluvial/Marítima,Chile,20.2
2017-08,Fluvial/Marítima,Paraguay,12350.1
2017-08,Fluvial/Marítima,Uruguay,32026.1
2017-08,Fluvial/Marítima,EE.UU. y Canadá,575.6
2017-08,Fluvial/Marítima,Resto de América,2796.9
2017-08,Fluvial/Marítima,Europa,626.9
2017-08,Fluvial/Marítima,Resto del mundo,136.1
2017-09,Aérea,Bolivia,4141.2
2017-09,Aérea,Brasil,68897.6
2017-09,Aérea,Chile,39204.3
2017-09,Aérea,Paraguay,4255
2017-09,Aérea,Uruguay,6113.4
2017-09,Aérea,EE.UU. y Canadá,75284.9
2017-09,Aérea,Resto de América,69180.8
2017-09,Aérea,Europa,86034.4
2017-09,Aérea,Resto del mundo,15011.4
2017-09,Terrestre,Bolivia,36066.4
2017-09,Terrestre,Brasil,60241.2
2017-09,Terrestre,Chile,113792.2
2017-09,Terrestre,Paraguay,86589.4
2017-09,Terrestre,Uruguay,40543.6
2017-09,Terrestre,EE.UU. y Canadá,318.1
2017-09,Terrestre,Resto de América,2562.3
2017-09,Terrestre,Europa,363.5
2017-09,Terrestre,Resto del mundo,163.5
2017-09,Fluvial/Marítima,Bolivia,11836
2017-09,Fluvial/Marítima,Brasil,4500.3
2017-09,Fluvial/Marítima,Chile,6.9
2017-09,Fluvial/Marítima,Paraguay,12161.5
2017-09,Fluvial/Marítima,Uruguay,38011.6
2017-09,Fluvial/Marítima,EE.UU. y Canadá,90.5
2017-09,Fluvial/Marítima,Resto de América,533.9
2017-09,Fluvial/Marítima,Europa,113.3
2017-09,Fluvial/Marítima,Resto del mundo,25.9
2017-10,Aérea,Bolivia,3845.6
2017-10,Aérea,Brasil,77299.6
2017-10,Aérea,Chile,51154.8
